movie_id,actor_name,character,cast_order
762,Graham Chapman,King Arthur / Voice of God / Middle Head / Hiccoughing Guard,0
762,John Cleese,Second Swallow-Savvy Guard / The Black Knight / Peasant 3 / Sir Launcelot the Brave / Taunting French Guard / Tim the Enchanter,1
762,Eric Idle,Dead Collector / Peasant 1 / Sir Robin the Not-Quite-So-Brave-as-Sir Launcelot / First Swamp Castle Guard / Concorde / Roger the Shrubber / Brother Maynard,2
762,Terry Gilliam,Patsy / Green Knight / Old Man from Scene 24 (Bridgekeeper) / Sir Bors / Animator / Gorilla Hand,3
762,Terry Jones,Dennis's Mother / Sir Bedevere / Left Head / Prince Herbert / Voice of Cartoon Scribe,4
762,Michael Palin,First Swallow-Savvy Guard / Dennis / Peasant 2 / Right Head / Sir Galahad the Pure / Narrator / King of Swamp Castle / Brother Maynard's Brother / Leader of The Knights Who Say NI!,5
762,Connie Booth,The Witch,6
762,Carol Cleveland,Zoot / Dingo,7
762,Neil Innes,"First Monk / Singing Minstrel / Page Crushed by the Rabbit / Peasant #4",8
762,Bee Duffell,Old Crone,9
762,John Young,Dead Body / Historian Frank,10
765,Bruce Campbell,Ash,0
765,Sarah Berry,Annie,1
765,Dan Hicks,Jake,2
765,Kassie DePaiva,Bobby Joe,3
765,Ted Raimi,Possessed Henrietta,4
765,Denise Bixler,Linda,5
765,Richard Domeier,Ed,6
765,John Peakes,Professor Knowby,7
765,Lou Hancock,Henrietta,8
765,Snowy Winters,Dancer,9
765,Sol Abrams,Fake Shemp,10
766,Bruce Campbell,Ash,0
766,Embeth Davidtz,Sheila,1
766,Marcus Gilbert,Arthur,2
766,Ian Abercrombie,Wiseman,3
766,Richard Grove,Duke Henry,4
766,Michael Earl Reid,Gold Tooth,5
766,Timothy Patrick Quill,Blacksmith,6
766,Bridget Fonda,Linda,7
766,Patricia Tallman,Possessed Witch,8
766,Ted Raimi,Cowardly Warrior / Second Supportive Villager / S-Mart Clerk,9
766,Deke Anderson,"Tiny Ash #1",10
767,Daniel Radcliffe,Harry Potter,0
767,Rupert Grint,Ron Weasley,1
767,Emma Watson,Hermione Granger,2
767,Jim Broadbent,Horace Slughorn,3
767,Michael Gambon,Albus Dumbledore,4
767,Tom Felton,Draco Malfoy,5
767,Alan Rickman,Severus Snape,6
767,Bonnie Wright,Ginny Weasley,7
767,Jessie Cave,Lavender Brown,8
767,Evanna Lynch,Luna Lovegood,9
767,Freddie Stroma,Cormac McLaggen,10
779,Nicolas de Gunzburg,Allan Grey,0
779,Maurice Schutz,The Lord of the Manor,1
779,Rena Mandel,Giséle,2
779,Sybille Schmitz,Léone,3
779,Jan Hieronimko,The Village Doctor,4
779,Henriette Gérard,The Old Woman from the Cemetery,5
779,Albert Bras,The Old Servant,6
779,N. Babanini,The Old Servant's Wife,7
779,Jane Mora,The Nurse,8
779,Georges Boidin,Limping Man,9
795,Nicolas Cage,Seth,0
795,Meg Ryan,Maggie,1
795,Dennis Franz,Messinger,2
795,Andre Braugher,Cassiel,3
795,Colm Feore,Jordan,4
795,Robin Bartlett,Anne,5
795,Joanna Merlin,Teresa,6
795,Sarah Dampf,Susan,7
795,Rhonda Dotson,Susan's Mother,8
795,Nigel Gibbs,Doctor,9
795,John Putch,Man in Car,10
808,Mike Myers,Shrek / Blind Mouse (voice),0
808,Eddie Murphy,Donkey (voice),1
808,Cameron Diaz,Princess Fiona (voice),2
808,John Lithgow,Lord Farquaad (voice),3
808,Vincent Cassel,Monsieur Hood (voice),4
808,Peter Dennis,Ogre Hunter (voice),5
808,Clive Pearse,Ogre Hunter (voice),6
808,Jim Cummings,Captain of the Guards (voice),7
808,Bobby Block,Baby Bear (voice),8
808,Chris Miller,Geppetto / Magic Mirror (voice),9
808,Cody Cameron,Pinnochio / Three Pigs (voice),10
809,Mike Myers,Shrek (voice),0
809,Eddie Murphy,Donkey (voice),1
809,Cameron Diaz,Princess Fiona (voice),2
809,Julie Andrews,Queen Lillian (voice),3
809,Antonio Banderas,Puss in Boots (voice),4
809,John Cleese,King Harold (voice),5
809,Rupert Everett,Prince Charming (voice),6
809,Jennifer Saunders,Fairy Godmother (voice),7
809,Aron Warner,Wolf (voice),8
809,Kelly Asbury,Page / Elf / Nobleman / Nobleman's Son (voice),9
809,Cody Cameron,Pinocchio / Three Pigs (voice),10
810,Mike Myers,Shrek (voice),0
810,Eddie Murphy,Donkey (voice),1
810,Cameron Diaz,Princess Fiona (voice),2
810,Antonio Banderas,Puss in Boots (voice),3
810,Julie Andrews,Queen Lillian (voice),4
810,John Cleese,King Harold (voice),5
810,Rupert Everett,Prince Charming (voice),6
810,Eric Idle,Merlin (voice),7
810,Justin Timberlake,Prince Artie (voice),8
810,Susanne Blakeslee,Evil Queen (voice),9
