movie_id,genre_name
11934,Fantasy
2907,Comedy
2907,Fantasy
16007,Fantasy
16007,Thriller
7980,Fantasy
7980,Drama
173,Adventure
173,Sci-Fi
173,Fantasy
581389,Drama
581389,Fantasy
581389,Sci-Fi
570131,Comedy
570131,Romance
570131,Fantasy
560044,Animation
560044,Comedy
560044,Family
560044,Fantasy
11224,Family
11224,Fantasy
11224,Animation
11224,Romance
787699,Comedy
787699,Family
787699,Fantasy
118,Adventure
118,Comedy
118,Family
118,Fantasy
585083,Animation
585083,Comedy
585083,Family
585083,Adventure
585083,Fantasy
10439,Fantasy
10439,Comedy
10439,Family
779782,Fantasy
779782,Comedy
779782,Adventure
639933,Action
639933,Adventure
639933,Fantasy
588921,Adventure
588921,Animation
588921,Family
588921,Fantasy
12335,Family
12335,Animation
12335,Fantasy
2044,Romance
2044,Drama
2044,Fantasy
487672,Sci-Fi
487672,Animation
487672,Action
487672,Fantasy
487672,Drama
15775,Drama
15775,Romance
15775,Fantasy
62177,Animation
62177,Family
62177,Fantasy
62177,Adventure
926899,Animation
926899,Drama
926899,Comedy
926899,Horror
926899,Fantasy
71864,Fantasy
71864,Drama
71864,Comedy
71864,Family
1730,Horror
1730,Thriller
1730,Drama
1730,Fantasy
847,Fantasy
847,Adventure
847,Action
12665,Drama
12665,Fantasy
1011985,Animation
1011985,Family
1011985,Action
1011985,Comedy
1011985,Adventure
1011985,Fantasy
526,Adventure
526,Comedy
526,Fantasy
14411,Family
14411,Animation
14411,Adventure
14411,Fantasy
14411,Action
1241982,Animation
1241982,Adventure
1241982,Family
1241982,Comedy
1241982,Fantasy
245842,Fantasy
245842,Adventure
245842,Family
845781,Action
845781,Comedy
845781,Fantasy
13192,Fantasy
300,Comedy
300,Drama
300,Fantasy
23202,Horror
23202,Fantasy
103328,Drama
103328,Fantasy
763215,Fantasy
763215,Action
763215,Adventure
460465,Action
460465,Fantasy
460465,Adventure
854,Comedy
854,Fantasy
854,Crime
854,Romance
615774,Fantasy
615774,Animation
615774,Family
615774,Adventure
615774,Comedy
615774,Horror
287947,Action
287947,Comedy
287947,Fantasy
894205,Action
894205,Fantasy
894205,Horror
2758,Comedy
2758,Family
2758,Fantasy
1024,Drama
1024,Fantasy
811367,Family
811367,Comedy
811367,Fantasy
811367,Animation
321612,Family
321612,Fantasy
321612,Romance
639720,Comedy
639720,Fantasy
639720,Family
14506,Fantasy
14506,Adventure
14506,Comedy
337556,Fantasy
337556,Action
13198,Comedy
13198,Drama
13198,Fantasy
13198,Romance
564,Adventure
564,Action
564,Fantasy
397837,Drama
397837,Fantasy
76492,Animation
76492,Comedy
76492,Family
76492,Fantasy
11227,Romance
11227,Comedy
11227,Drama
11227,Fantasy
9007,Comedy
9007,Romance
9007,Fantasy
17445,Action
17445,Adventure
17445,Fantasy
17445,Animation
17445,Sci-Fi
10228,Animation
10228,Family
10228,Adventure
10228,Fantasy
10228,Action
10166,Fantasy
10166,Family
10166,Horror
11527,Adventure
11527,Fantasy
364,Action
364,Fantasy
16093,Horror
16093,Fantasy
175774,Fantasy
175774,Drama
