movie_id,title,release_date,rating,popularity,release_year,genres,category
129,Spirited Away,2001-07-20,8.5,30.4319,2001,"Animation, Family, Fantasy",Fairy Tale
497,The Green Mile,1999-12-10,8.5,27.8367,1999,"Fantasy, Drama, Crime",Fantasy Epic
122,The Lord of the Rings: The Return of the King,2003-12-17,8.5,33.4367,2003,"Adventure, Fantasy, Action",Sword and Sorcery
120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,8.4,33.9804,2001,"Adventure, Fantasy, Action",Sword and Sorcery
40096,A Dog's Will,2000-09-15,8.4,5.9552,2000,"Comedy, Drama, Fantasy, Romance",Fantasy Epic
121,The Lord of the Rings: The Two Towers,2002-12-18,8.4,25.8225,2002,"Adventure, Fantasy, Action",Sword and Sorcery
4935,Howl's Moving Castle,2004-09-09,8.4,23.9173,2004,"Fantasy, Animation, Adventure",Fantasy Epic
1218925,Chainsaw Man - The Movie: Reze Arc,2025-09-19,8.3,29.6382,2025,"Animation, Action, Romance, Fantasy",Sword and Sorcery
128,Princess Mononoke,1997-07-12,8.3,15.5974,1997,"Adventure, Fantasy, Animation",Fantasy Epic
620249,The Legend of Hei,2019-08-27,8.3,8.6008,2019,"Animation, Fantasy, Action",Sword and Sorcery
533514,Violet Evergarden: The Movie,2020-09-18,8.3,8.2958,2020,"Animation, Drama, Fantasy, Romance",Fantasy Epic
1585,It's a Wonderful Life,1946-12-20,8.3,13.3956,1946,"Drama, Family, Fantasy",Fantasy Epic
1139087,Once Upon a Studio,2023-09-24,8.3,8.5187,2023,"Animation, Family, Fantasy, Drama, Comedy",Fairy Tale
18491,Neon Genesis Evangelion: The End of Evangelion,1997-07-19,8.3,10.5768,1997,"Animation, Sci-Fi, Drama, Fantasy",Fantasy Epic
572154,Rascal Does Not Dream of a Dreaming Girl,2019-06-15,8.3,6.7352,2019,"Animation, Romance, Drama, Fantasy",Fantasy Epic
92321,Hotarubi no Mori e,2011-09-17,8.3,0.0073,2011,"Romance, Animation, Fantasy",Fantasy Epic
110420,Wolf Children,2012-07-21,8.2,5.7797,2012,"Animation, Family, Drama, Fantasy",Fairy Tale
618344,Justice League Dark: Apokolips War,2020-05-05,8.2,8.3707,2020,"Animation, Action, Adventure, Fantasy",Sword and Sorcery
315162,Puss in Boots: The Last Wish,2022-12-07,8.2,19.7036,2022,"Animation, Adventure, Fantasy, Comedy, Family",Fairy Tale
635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020-10-16,8.2,10.934,2020,"Animation, Action, Fantasy",Sword and Sorcery
441130,Wolfwalkers,2020-10-26,8.2,12.3605,2020,"Animation, Family, Adventure, Fantasy",Fairy Tale
537061,Steven Universe: The Movie,2019-10-07,8.2,4.2559,2019,"Animation, Family, Adventure, Fantasy",Fairy Tale
490,The Seventh Seal,1957-02-16,8.2,5.5328,1957,"Fantasy, Drama",Fantasy Epic
476292,Maquia: When the Promised Flower Blooms,2018-02-24,8.2,5.2535,2018,"Animation, Fantasy, Drama",Fantasy Epic
592350,My Hero Academia: Heroes Rising,2019-12-20,8.1,6.2527,2019,"Animation, Action, Fantasy, Adventure",Sword and Sorcery
980477,Ne Zha 2,2025-01-29,8.1,24.4864,2025,"Animation, Fantasy, Adventure",Fantasy Epic
810693,Jujutsu Kaisen 0,2021-12-24,8.1,14.3492,2021,"Animation, Action, Fantasy",Sword and Sorcery
149871,The Tale of The Princess Kaguya,2013-11-23,8.1,5.8256,2013,"Animation, Drama, Fantasy",Fantasy Epic
508442,Soul,2020-12-25,8.1,14.536,2020,"Animation, Family, Drama, Fantasy",Fairy Tale
791373,Zack Snyder's Justice League,2021-03-18,8.1,14.7682,2021,"Action, Adventure, Fantasy",Sword and Sorcery
823219,Flow,2024-08-29,8.1,16.3215,2024,"Animation, Adventure, Fantasy, Family",Fairy Tale
664767,Mortal Kombat Legends: Scorpion's Revenge,2020-04-12,8.1,8.1236,2020,"Animation, Action, Fantasy",Sword and Sorcery
12445,Harry Potter and the Deathly Hallows: Part 2,2011-07-12,8.1,22.8262,2011,"Adventure, Fantasy",Fantasy Epic
610892,Violet Evergarden: Eternity and the Auto Memory Doll,2019-09-06,8.1,3.9957,2019,"Drama, Fantasy, Animation",Fantasy Epic
8392,My Neighbor Totoro,1988-04-16,8.1,14.7405,1988,"Fantasy, Animation, Family",Fairy Tale
663558,New Gods: Nezha Reborn,2021-02-06,8.1,4.9982,2021,"Animation, Fantasy, Action",Sword and Sorcery
640344,Me Against You: Mr. S's Vendetta,2020-01-17,8.1,1.0506,2020,"Family, Fantasy",Fantasy Epic
532067,KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,2019-08-30,8.0,5.2534,2019,"Animation, Adventure, Comedy, Fantasy",Fantasy Epic
518068,Along with the Gods: The Last 49 Days,2018-08-01,8.0,5.7149,2018,"Action, Adventure, Fantasy, Thriller",Dark Fantasy
638507,How to Train Your Dragon: Homecoming,2019-12-03,8.0,8.0358,2019,"Animation, Fantasy, Adventure, Family",Fairy Tale
397567,Along with the Gods: The Two Worlds,2017-12-20,8.0,7.3015,2017,"Action, Adventure, Drama, Fantasy, Thriller",Dark Fantasy
803796,KPop Demon Hunters,2025-06-20,8.0,43.8176,2025,"Fantasy, Comedy, Animation",Fantasy Epic
555604,Guillermo del Toro's Pinocchio,2022-11-09,8.0,8.0222,2022,"Animation, Fantasy, Adventure, Drama",Fantasy Epic
14696,Ugetsu,1953-03-26,8.0,2.9606,1953,"Fantasy, Drama",Fantasy Epic
673,Harry Potter and the Prisoner of Azkaban,2004-05-31,8.0,22.8558,2004,"Adventure, Fantasy",Fantasy Epic
110416,Song of the Sea,2014-06-23,8.0,4.9139,2014,"Family, Animation, Fantasy",Fairy Tale
140420,Paperman,2012-11-02,8.0,2.0768,2012,"Animation, Family, Romance, Comedy, Fantasy",Fairy Tale
568160,Weathering with You,2019-07-19,8.0,7.9503,2019,"Animation, Drama, Fantasy, Romance",Fantasy Epic
10515,Castle in the Sky,1986-08-02,8.0,7.9602,1986,"Adventure, Fantasy, Animation, Action, Family",Fairy Tale
81,Nausicaä of the Valley of the Wind,1984-03-11,7.9,8.2734,1984,"Adventure, Animation, Fantasy",Fantasy Epic
29264,The Exterminating Angel,1962-05-16,7.9,1.8289,1962,"Comedy, Drama, Fantasy",Fantasy Epic
726684,Miraculous World: Shanghai - The Legend of Ladydragon,2021-05-15,7.9,2.9228,2021,"Animation, Fantasy, Action",Sword and Sorcery
1087192,How to Train Your Dragon,2025-06-06,7.9,27.0754,2025,"Fantasy, Family, Action, Adventure",Fantasy Epic
315465,The Boy and the Beast,2015-07-11,7.9,5.5426,2015,"Action, Adventure, Animation, Drama, Family, Fantasy",Fairy Tale
122906,About Time,2013-09-04,7.9,10.545,2013,"Drama, Romance, Fantasy",Fantasy Epic
